DrugIndex,DrugID,Drug_Name,target_id,gene,uniprot,target_name,action_type,source,organism,moa
2,DM02A65,Temazepam,GABRA1,GABRA1,P14867|P18507|P47870,GABA-A receptor alpha-1/beta-2/gamma-2,POSITIVE ALLOSTERIC MODULATOR,DrugCentral,Homo sapiens,1.0
2,DM02A65,Temazepam,GABRB2,GABRB2,P14867|P18507|P47870,GABA-A receptor alpha-1/beta-2/gamma-2,POSITIVE ALLOSTERIC MODULATOR,DrugCentral,Homo sapiens,1.0
2,DM02A65,Temazepam,GABRG2,GABRG2,P14867|P18507|P47870,GABA-A receptor alpha-1/beta-2/gamma-2,POSITIVE ALLOSTERIC MODULATOR,DrugCentral,Homo sapiens,1.0
2,DM02A65,Temazepam,NR1I3,NR1I3,Q14994,Nuclear receptor subfamily 1 group I member 3,,DrugCentral,Homo sapiens,
3,DM02AWV,Tolbutamide,ABCC8,ABCC8,Q09428|Q14654,"Sulfonylurea receptor 1, Kir6.2",BLOCKER,DrugCentral,Homo sapiens,1.0
3,DM02AWV,Tolbutamide,KCNJ11,KCNJ11,Q09428|Q14654,"Sulfonylurea receptor 1, Kir6.2",BLOCKER,DrugCentral,Homo sapiens,1.0
7,DM04LR2,Floxuridine,TYMS,TYMS,P04818,Thymidylate synthase,INHIBITOR,DrugCentral,Homo sapiens,1.0
8,DM053KT,Aprepitant,CYP3A4,CYP3A4,P08684,Cytochrome P450 3A4,,DrugCentral,Homo sapiens,
8,DM053KT,Aprepitant,TACR1,TACR1,P25103,Substance-P receptor,ANTAGONIST,DrugCentral,Homo sapiens,1.0
8,DM053KT,Aprepitant,TACR3,TACR3,P29371,Neuromedin-K receptor,,DrugCentral,Homo sapiens,
10,DM05DR0,Sitosterol,DPP4,DPP4,P27487,Dipeptidyl peptidase 4,,DrugCentral,Homo sapiens,
10,DM05DR0,Sitosterol,F2,F2,P00734,Prothrombin,,DrugCentral,Homo sapiens,
10,DM05DR0,Sitosterol,MAOA,MAOA,P21397,Amine oxidase [flavin-containing] A,,DrugCentral,Homo sapiens,
10,DM05DR0,Sitosterol,MAOB,MAOB,P27338,Amine oxidase [flavin-containing] B,,DrugCentral,Homo sapiens,
10,DM05DR0,Sitosterol,NFKB1,NFKB1,P19838,Nuclear factor NF-kappa-B p105 subunit,,DrugCentral,Homo sapiens,
10,DM05DR0,Sitosterol,POLB,POLB,P06746,DNA polymerase beta,,DrugCentral,Homo sapiens,
11,DM05FXR,Meclofenamic acid,AKR1C1,AKR1C1,Q04828,Aldo-keto reductase family 1 member C1,,DrugCentral,Homo sapiens,
11,DM05FXR,Meclofenamic acid,AKR1C2,AKR1C2,P52895,Aldo-keto reductase family 1 member C2,,DrugCentral,Homo sapiens,
11,DM05FXR,Meclofenamic acid,AKR1C3,AKR1C3,P42330,Aldo-keto reductase family 1 member C3,,DrugCentral,Homo sapiens,
11,DM05FXR,Meclofenamic acid,ALOX5,ALOX5,P09917,Arachidonate 5-lipoxygenase,INHIBITOR,DrugCentral,Homo sapiens,1.0
11,DM05FXR,Meclofenamic acid,AR,AR,P10275,Androgen receptor,,DrugCentral,Homo sapiens,
11,DM05FXR,Meclofenamic acid,FABP2,FABP2,P12104,"Fatty acid-binding protein, intestinal",,DrugCentral,Homo sapiens,
11,DM05FXR,Meclofenamic acid,MAPK1,MAPK1,P28482,Mitogen-activated protein kinase 1,,DrugCentral,Homo sapiens,
11,DM05FXR,Meclofenamic acid,PTGS1,PTGS1,P23219,Prostaglandin G/H synthase 1,INHIBITOR,DrugCentral,Homo sapiens,1.0
11,DM05FXR,Meclofenamic acid,PTGS2,PTGS2,P35354,Prostaglandin G/H synthase 2,INHIBITOR,DrugCentral,Homo sapiens,1.0
11,DM05FXR,Meclofenamic acid,TTR,TTR,P02766,Transthyretin,,DrugCentral,Homo sapiens,
14,DM0659E,Cannabidiol,CNR1,CNR1,P21554,Cannabinoid receptor 1,,DrugCentral,Homo sapiens,
14,DM0659E,Cannabidiol,CNR2,CNR2,P34972,Cannabinoid receptor 2,,DrugCentral,Homo sapiens,
14,DM0659E,Cannabidiol,GPR18,GPR18,Q14330,N-arachidonyl glycine receptor,AGONIST,DrugCentral,Homo sapiens,
14,DM0659E,Cannabidiol,GPR55,GPR55,Q9Y2T6,G-protein coupled receptor 55,ANTAGONIST,DrugCentral,Homo sapiens,1.0
14,DM0659E,Cannabidiol,TRPV1,TRPV1,Q8NER1,Transient receptor potential cation channel subfamily V member 1,INHIBITOR,DrugCentral,Homo sapiens,1.0
14,DM0659E,Cannabidiol,TRPV2,TRPV2,Q9Y5S1,Transient receptor potential cation channel subfamily V member 2,ACTIVATOR,DrugCentral,Homo sapiens,
15,DM06HG5,Levomethadyl Acetate,KCNH2,KCNH2,Q12809,Potassium voltage-gated channel subfamily H member 2,,DrugCentral,Homo sapiens,
15,DM06HG5,Levomethadyl Acetate,OPRM1,OPRM1,P35372,Mu-type opioid receptor,AGONIST,DrugCentral,Homo sapiens,1.0
17,DM07K2I,Eprosartan,AGTR1,AGTR1,P30556,Type-1 angiotensin II receptor,ANTAGONIST,DrugCentral,Homo sapiens,1.0
18,DM07TX3,Cefotetan,COMT,COMT,P21964,Catechol O-methyltransferase,,DrugCentral,Homo sapiens,
18,DM07TX3,Cefotetan,MMP1,MMP1,P03956,Interstitial collagenase,,DrugCentral,Homo sapiens,
18,DM07TX3,Cefotetan,MMP2,MMP2,P08253,72 kDa type IV collagenase,,DrugCentral,Homo sapiens,
18,DM07TX3,Cefotetan,MMP9,MMP9,P14780,Matrix metalloproteinase-9,,DrugCentral,Homo sapiens,
18,DM07TX3,Cefotetan,PTGS2,PTGS2,P35354,Prostaglandin G/H synthase 2,,DrugCentral,Homo sapiens,
19,DM07U2A,Estradiol Acetate,ESR1,ESR1,P03372,Estrogen receptor,AGONIST,DrugCentral,Homo sapiens,1.0
20,DM08E9O,Diazepam,ADORA3,ADORA3,P0DMS8,Adenosine receptor A3,,DrugCentral,Homo sapiens,
20,DM08E9O,Diazepam,ADRA1A,ADRA1A,P35348,Alpha-1A adrenergic receptor,ALLOSTERIC MODULATOR,DrugCentral,Homo sapiens,
20,DM08E9O,Diazepam,AKR1C1,AKR1C1,Q04828,Aldo-keto reductase family 1 member C1,,DrugCentral,Homo sapiens,
20,DM08E9O,Diazepam,AKR1C2,AKR1C2,P52895,Aldo-keto reductase family 1 member C2,,DrugCentral,Homo sapiens,
20,DM08E9O,Diazepam,AKR1C3,AKR1C3,P42330,Aldo-keto reductase family 1 member C3,,DrugCentral,Homo sapiens,
20,DM08E9O,Diazepam,CYP3A4,CYP3A4,P08684,Cytochrome P450 3A4,,DrugCentral,Homo sapiens,
20,DM08E9O,Diazepam,GABRA1,GABRA1,P14867|P18507|P47870,GABA-A receptor alpha-1/beta-2/gamma-2,POSITIVE ALLOSTERIC MODULATOR,DrugCentral,Homo sapiens,1.0
20,DM08E9O,Diazepam,GABRA2,GABRA2,P18507|P28472|P47869,GABA-A receptor alpha-2/beta-3/gamma-2,POSITIVE ALLOSTERIC MODULATOR,DrugCentral,Homo sapiens,1.0
20,DM08E9O,Diazepam,GABRA3,GABRA3,P18507|P28472|P34903,GABA-A receptor alpha-3/beta-3/gamma-2,POSITIVE ALLOSTERIC MODULATOR,DrugCentral,Homo sapiens,1.0
20,DM08E9O,Diazepam,GABRA5,GABRA5,P31644|P47870|Q99928,GABA A receptor alpha-5/beta-2/gamma-3,POSITIVE ALLOSTERIC MODULATOR,DrugCentral,Homo sapiens,1.0
20,DM08E9O,Diazepam,GABRB2,GABRB2,P31644|P47870|Q99928,GABA A receptor alpha-5/beta-2/gamma-3,POSITIVE ALLOSTERIC MODULATOR,DrugCentral,Homo sapiens,1.0
20,DM08E9O,Diazepam,GABRB3,GABRB3,P18507|P28472|P47869,GABA-A receptor alpha-2/beta-3/gamma-2,POSITIVE ALLOSTERIC MODULATOR,DrugCentral,Homo sapiens,1.0
20,DM08E9O,Diazepam,GABRG2,GABRG2,P14867|P18507|P47870,GABA-A receptor alpha-1/beta-2/gamma-2,POSITIVE ALLOSTERIC MODULATOR,DrugCentral,Homo sapiens,1.0
20,DM08E9O,Diazepam,GABRG3,GABRG3,P31644|P47870|Q99928,GABA A receptor alpha-5/beta-2/gamma-3,POSITIVE ALLOSTERIC MODULATOR,DrugCentral,Homo sapiens,1.0
26,DM0C9IL,Ranolazine,ABCB1,ABCB1,P08183,Multidrug resistance protein 1,,DrugCentral,Homo sapiens,
26,DM0C9IL,Ranolazine,KCNH2,KCNH2,Q12809,Potassium voltage-gated channel subfamily H member 2,,DrugCentral,Homo sapiens,
26,DM0C9IL,Ranolazine,SCN5A,SCN5A,Q14524,Sodium channel protein type 5 subunit alpha,BLOCKER,DrugCentral,Homo sapiens,1.0
29,DM0DJ9O,Flupentixol,ADRA1A,ADRA1A,P35348,Alpha-1A adrenergic receptor,,DrugCentral,Homo sapiens,
29,DM0DJ9O,Flupentixol,DRD1,DRD1,P21728,D(1A) dopamine receptor,ANTAGONIST,DrugCentral,Homo sapiens,1.0
29,DM0DJ9O,Flupentixol,DRD2,DRD2,P14416,D(2) dopamine receptor,ANTAGONIST,DrugCentral,Homo sapiens,1.0
29,DM0DJ9O,Flupentixol,DRD3,DRD3,P35462,D(3) dopamine receptor,ANTAGONIST,DrugCentral,Homo sapiens,
29,DM0DJ9O,Flupentixol,DRD4,DRD4,P21917,D(4) dopamine receptor,,DrugCentral,Homo sapiens,
29,DM0DJ9O,Flupentixol,DRD5,DRD5,P21918,D(1B) dopamine receptor,ANTAGONIST,DrugCentral,Homo sapiens,
29,DM0DJ9O,Flupentixol,HRH1,HRH1,P35367,Histamine H1 receptor,,DrugCentral,Homo sapiens,
29,DM0DJ9O,Flupentixol,HTR1A,HTR1A,P08908,5-hydroxytryptamine receptor 1A,,DrugCentral,Homo sapiens,
29,DM0DJ9O,Flupentixol,HTR2A,HTR2A,P28223,5-hydroxytryptamine receptor 2A,,DrugCentral,Homo sapiens,
29,DM0DJ9O,Flupentixol,KCNK2,KCNK2,O95069,Potassium channel subfamily K member 2,,DrugCentral,Homo sapiens,
29,DM0DJ9O,Flupentixol,SIGMAR1,SIGMAR1,Q99720,Sigma non-opioid intracellular receptor 1,,DrugCentral,Homo sapiens,
29,DM0DJ9O,Flupentixol,SLC22A1,SLC22A1,O15245,Solute carrier family 22 member 1,,DrugCentral,Homo sapiens,
30,DM0DQM5,Amlexanox,GPR35,GPR35,Q9HC97,G-protein coupled receptor 35,,DrugCentral,Homo sapiens,
30,DM0DQM5,Amlexanox,IKBKE,IKBKE,Q14164,Inhibitor of nuclear factor kappa-B kinase subunit epsilon,INHIBITOR,DrugCentral,Homo sapiens,
30,DM0DQM5,Amlexanox,PDE4A,PDE4A,P27815|Q07343|Q08493|Q08499,Phosphodiesterase 4,INHIBITOR,DrugCentral,Homo sapiens,1.0
30,DM0DQM5,Amlexanox,PDE4B,PDE4B,P27815|Q07343|Q08493|Q08499,Phosphodiesterase 4,INHIBITOR,DrugCentral,Homo sapiens,1.0
30,DM0DQM5,Amlexanox,PDE4C,PDE4C,P27815|Q07343|Q08493|Q08499,Phosphodiesterase 4,INHIBITOR,DrugCentral,Homo sapiens,1.0
30,DM0DQM5,Amlexanox,PDE4D,PDE4D,P27815|Q07343|Q08493|Q08499,Phosphodiesterase 4,INHIBITOR,DrugCentral,Homo sapiens,1.0
30,DM0DQM5,Amlexanox,TBK1,TBK1,Q9UHD2,Serine/threonine-protein kinase TBK1,INHIBITOR,DrugCentral,Homo sapiens,
31,DM0DTF7,Zonisamide,CA1,CA1,P00915,Carbonic anhydrase 1,,DrugCentral,Homo sapiens,
31,DM0DTF7,Zonisamide,CA12,CA12,O43570,Carbonic anhydrase 12,INHIBITOR,DrugCentral,Homo sapiens,
31,DM0DTF7,Zonisamide,CA13,CA13,Q8N1Q1,Carbonic anhydrase 13,,DrugCentral,Homo sapiens,
31,DM0DTF7,Zonisamide,CA14,CA14,Q9ULX7,Carbonic anhydrase 14,,DrugCentral,Homo sapiens,
31,DM0DTF7,Zonisamide,CA2,CA2,P00918,Carbonic anhydrase 2,,DrugCentral,Homo sapiens,
31,DM0DTF7,Zonisamide,CA4,CA4,P22748,Carbonic anhydrase 4,,DrugCentral,Homo sapiens,
31,DM0DTF7,Zonisamide,CA5A,CA5A,P35218,"Carbonic anhydrase 5A, mitochondrial",,DrugCentral,Homo sapiens,
31,DM0DTF7,Zonisamide,CA5B,CA5B,Q9Y2D0,"Carbonic anhydrase 5B, mitochondrial",,DrugCentral,Homo sapiens,
31,DM0DTF7,Zonisamide,CA6,CA6,P23280,Carbonic anhydrase 6,,DrugCentral,Homo sapiens,
31,DM0DTF7,Zonisamide,CA7,CA7,P43166,Carbonic anhydrase 7,,DrugCentral,Homo sapiens,
31,DM0DTF7,Zonisamide,CA9,CA9,Q16790,Carbonic anhydrase 9,,DrugCentral,Homo sapiens,
31,DM0DTF7,Zonisamide,CACNA1G,CACNA1G,O43497,Voltage-dependent T-type calcium channel subunit alpha-1G,,DrugCentral,Homo sapiens,
31,DM0DTF7,Zonisamide,MAOB,MAOB,P27338,Amine oxidase [flavin-containing] B,,DrugCentral,Homo sapiens,
31,DM0DTF7,Zonisamide,SCN1A,SCN1A,P35498,Sodium channel protein type 1 subunit alpha,BLOCKER,DrugCentral,Homo sapiens,1.0
32,DM0DXA8,Droperidol,ADRA1D,ADRA1D,P25100,Alpha-1D adrenergic receptor,,DrugCentral,Homo sapiens,
32,DM0DXA8,Droperidol,ADRA2A,ADRA2A,P08913,Alpha-2A adrenergic receptor,,DrugCentral,Homo sapiens,
32,DM0DXA8,Droperidol,ADRA2B,ADRA2B,P18089,Alpha-2B adrenergic receptor,,DrugCentral,Homo sapiens,
32,DM0DXA8,Droperidol,ADRA2C,ADRA2C,P18825,Alpha-2C adrenergic receptor,,DrugCentral,Homo sapiens,
32,DM0DXA8,Droperidol,CHRM4,CHRM4,P08173,Muscarinic acetylcholine receptor M4,,DrugCentral,Homo sapiens,
32,DM0DXA8,Droperidol,CHRM5,CHRM5,P08912,Muscarinic acetylcholine receptor M5,,DrugCentral,Homo sapiens,
32,DM0DXA8,Droperidol,DRD1,DRD1,P21728,D(1A) dopamine receptor,,DrugCentral,Homo sapiens,
32,DM0DXA8,Droperidol,DRD2,DRD2,P14416,D(2) dopamine receptor,ANTAGONIST,DrugCentral,Homo sapiens,1.0
32,DM0DXA8,Droperidol,DRD3,DRD3,P35462,D(3) dopamine receptor,,DrugCentral,Homo sapiens,
32,DM0DXA8,Droperidol,DRD4,DRD4,P21917,D(4) dopamine receptor,,DrugCentral,Homo sapiens,
32,DM0DXA8,Droperidol,HRH1,HRH1,P35367,Histamine H1 receptor,,DrugCentral,Homo sapiens,
32,DM0DXA8,Droperidol,HTR1A,HTR1A,P08908,5-hydroxytryptamine receptor 1A,,DrugCentral,Homo sapiens,
32,DM0DXA8,Droperidol,HTR2A,HTR2A,P28223,5-hydroxytryptamine receptor 2A,ANTAGONIST,DrugCentral,Homo sapiens,1.0
32,DM0DXA8,Droperidol,HTR2B,HTR2B,P41595,5-hydroxytryptamine receptor 2B,,DrugCentral,Homo sapiens,
32,DM0DXA8,Droperidol,HTR2C,HTR2C,P28335,5-hydroxytryptamine receptor 2C,,DrugCentral,Homo sapiens,
32,DM0DXA8,Droperidol,KCNH2,KCNH2,Q12809,Potassium voltage-gated channel subfamily H member 2,,DrugCentral,Homo sapiens,
32,DM0DXA8,Droperidol,SCN1A,SCN1A,P35498|Q99250|Q9NY46,"Sodium channel alpha subunits; brain (Types I, II, III)",,DrugCentral,Homo sapiens,
32,DM0DXA8,Droperidol,SCN2A,SCN2A,P35498|Q99250|Q9NY46,"Sodium channel alpha subunits; brain (Types I, II, III)",,DrugCentral,Homo sapiens,
32,DM0DXA8,Droperidol,SCN3A,SCN3A,P35498|Q99250|Q9NY46,"Sodium channel alpha subunits; brain (Types I, II, III)",,DrugCentral,Homo sapiens,
33,DM0E6S3,Suvorexant,HCRTR1,HCRTR1,O43613,Orexin receptor type 1,ANTAGONIST,DrugCentral,Homo sapiens,1.0
33,DM0E6S3,Suvorexant,HCRTR2,HCRTR2,O43614,Orexin receptor type 2,ANTAGONIST,DrugCentral,Homo sapiens,1.0
34,DM0EP7M,Minaprine,ACHE,ACHE,P22303,Acetylcholinesterase,,DrugCentral,Homo sapiens,
34,DM0EP7M,Minaprine,CHRM1,CHRM1,P11229,Muscarinic acetylcholine receptor M1,,DrugCentral,Homo sapiens,
35,DM0EZ9Q,Pramlintide,CALCR,CALCR,P30988|O60895,Amylin receptor AMY2,AGONIST,DrugCentral,Homo sapiens,1.0
35,DM0EZ9Q,Pramlintide,RAMP1,RAMP1,P30988|O60894,Amylin receptor AMY1,AGONIST,DrugCentral,Homo sapiens,1.0
35,DM0EZ9Q,Pramlintide,RAMP2,RAMP2,P30988|O60895,Amylin receptor AMY2,AGONIST,DrugCentral,Homo sapiens,1.0
35,DM0EZ9Q,Pramlintide,RAMP3,RAMP3,P30988|O60896,Amylin receptor AMY3,AGONIST,DrugCentral,Homo sapiens,1.0
36,DM0FB1J,Sertraline,ADRA1A,ADRA1A,P35348,Alpha-1A adrenergic receptor,,DrugCentral,Homo sapiens,
36,DM0FB1J,Sertraline,ADRA2A,ADRA2A,P08913,Alpha-2A adrenergic receptor,,DrugCentral,Homo sapiens,
36,DM0FB1J,Sertraline,ADRA2B,ADRA2B,P18089,Alpha-2B adrenergic receptor,,DrugCentral,Homo sapiens,
36,DM0FB1J,Sertraline,ADRA2C,ADRA2C,P18825,Alpha-2C adrenergic receptor,,DrugCentral,Homo sapiens,
36,DM0FB1J,Sertraline,CHRM1,CHRM1,P11229,Muscarinic acetylcholine receptor M1,,DrugCentral,Homo sapiens,
36,DM0FB1J,Sertraline,CHRM2,CHRM2,P08172,Muscarinic acetylcholine receptor M2,,DrugCentral,Homo sapiens,
36,DM0FB1J,Sertraline,CHRM3,CHRM3,P20309,Muscarinic acetylcholine receptor M3,,DrugCentral,Homo sapiens,
36,DM0FB1J,Sertraline,CHRM4,CHRM4,P08173,Muscarinic acetylcholine receptor M4,,DrugCentral,Homo sapiens,
36,DM0FB1J,Sertraline,CHRM5,CHRM5,P08912,Muscarinic acetylcholine receptor M5,,DrugCentral,Homo sapiens,
36,DM0FB1J,Sertraline,CYP2C19,CYP2C19,P33261,Cytochrome P450 2C19,,DrugCentral,Homo sapiens,
36,DM0FB1J,Sertraline,HTR2A,HTR2A,P28223,5-hydroxytryptamine receptor 2A,,DrugCentral,Homo sapiens,
36,DM0FB1J,Sertraline,HTR2B,HTR2B,P41595,5-hydroxytryptamine receptor 2B,,DrugCentral,Homo sapiens,
36,DM0FB1J,Sertraline,HTR2C,HTR2C,P28335,5-hydroxytryptamine receptor 2C,,DrugCentral,Homo sapiens,
36,DM0FB1J,Sertraline,KCNH2,KCNH2,Q12809,Potassium voltage-gated channel subfamily H member 2,,DrugCentral,Homo sapiens,
36,DM0FB1J,Sertraline,MC5R,MC5R,P33032,Melanocortin receptor 5,,DrugCentral,Homo sapiens,
36,DM0FB1J,Sertraline,SIGMAR1,SIGMAR1,Q99720,Sigma non-opioid intracellular receptor 1,,DrugCentral,Homo sapiens,
36,DM0FB1J,Sertraline,SLC6A2,SLC6A2,P23975,Sodium-dependent noradrenaline transporter,,DrugCentral,Homo sapiens,
36,DM0FB1J,Sertraline,SLC6A3,SLC6A3,Q01959,Sodium-dependent dopamine transporter,,DrugCentral,Homo sapiens,
36,DM0FB1J,Sertraline,SLC6A4,SLC6A4,P31645,Sodium-dependent serotonin transporter,INHIBITOR,DrugCentral,Homo sapiens,1.0
39,DM0GUSX,Ranitidine,ACHE,ACHE,P22303,Acetylcholinesterase,,DrugCentral,Homo sapiens,
39,DM0GUSX,Ranitidine,HRH2,HRH2,P25021,Histamine H2 receptor,ANTAGONIST,DrugCentral,Homo sapiens,1.0
39,DM0GUSX,Ranitidine,SLC47A1,SLC47A1,Q96FL8,Multidrug and toxin extrusion protein 1,,DrugCentral,Homo sapiens,
41,DM0HXDS,Pentostatin,ADA,ADA,P00813,Adenosine deaminase,INHIBITOR,DrugCentral,Homo sapiens,1.0
42,DM0IO13,Ipriflavone,PTGS1,PTGS1,P23219,Prostaglandin G/H synthase 1,,DrugCentral,Homo sapiens,
42,DM0IO13,Ipriflavone,SLC6A2,SLC6A2,P23975,Sodium-dependent noradrenaline transporter,,DrugCentral,Homo sapiens,
44,DM0JE6N,Metixene,CHRM1,CHRM1,P11229,Muscarinic acetylcholine receptor M1,ANTAGONIST,DrugCentral,Homo sapiens,1.0
44,DM0JE6N,Metixene,HTR2C,HTR2C,P28335,5-hydroxytryptamine receptor 2C,ANTAGONIST,DrugCentral,Homo sapiens,1.0
50,DM0L594,Ivabradine,HCN1,HCN1,O60741,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1,BLOCKER,DrugCentral,Homo sapiens,1.0
50,DM0L594,Ivabradine,HCN2,HCN2,Q9UL51,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2,BLOCKER,DrugCentral,Homo sapiens,1.0
50,DM0L594,Ivabradine,HCN3,HCN3,Q9P1Z3,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3,BLOCKER,DrugCentral,Homo sapiens,1.0
50,DM0L594,Ivabradine,HCN4,HCN4,Q9Y3Q4,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4,,DrugCentral,Homo sapiens,
52,DM0LPI9,Netarsudil,ROCK1,ROCK1,Q13464,Rho-associated protein kinase 1,INHIBITOR,DrugCentral,Homo sapiens,
52,DM0LPI9,Netarsudil,ROCK2,ROCK2,O75116,Rho-associated protein kinase 2,INHIBITOR,DrugCentral,Homo sapiens,1.0
55,DM0N85H,Vidarabine,DCK,DCK,P27707,Deoxycytidine kinase,,DrugCentral,Homo sapiens,
55,DM0N85H,Vidarabine,DGUOK,DGUOK,Q16854,"Deoxyguanosine kinase, mitochondrial",,DrugCentral,Homo sapiens,
55,DM0N85H,Vidarabine,DPP4,DPP4,P27487,Dipeptidyl peptidase 4,,DrugCentral,Homo sapiens,
55,DM0N85H,Vidarabine,POLA1,POLA1,P09884,DNA polymerase alpha catalytic subunit,,DrugCentral,Homo sapiens,
55,DM0N85H,Vidarabine,PRPS1,PRPS1,P60891,Ribose-phosphate pyrophosphokinase 1,,DrugCentral,Homo sapiens,
55,DM0N85H,Vidarabine,RRM1,RRM1,P23921,Ribonucleoside-diphosphate reductase large subunit,,DrugCentral,Homo sapiens,
55,DM0N85H,Vidarabine,RRM2,RRM2,P31350,Ribonucleoside-diphosphate reductase subunit M2,,DrugCentral,Homo sapiens,
56,DM0N9WA,Calcitonin Human,CALCR,CALCR,P30988,Calcitonin receptor,AGONIST,DrugCentral,Homo sapiens,1.0
56,DM0N9WA,Calcitonin Human,RAMP1,RAMP1,P30988|O60894,Amylin receptor AMY1,AGONIST,DrugCentral,Homo sapiens,
56,DM0N9WA,Calcitonin Human,RAMP2,RAMP2,P30988|O60895,Amylin receptor AMY2,AGONIST,DrugCentral,Homo sapiens,
56,DM0N9WA,Calcitonin Human,RAMP3,RAMP3,P30988|O60896,Amylin receptor AMY3,AGONIST,DrugCentral,Homo sapiens,
61,DM0PMGJ,Polyestradiol Phosphate,ESR1,ESR1,P03372,Estrogen receptor,AGONIST,DrugCentral,Homo sapiens,1.0
62,DM0Q8MZ,Trimethadione,CACNA1G,CACNA1G,O43497,Voltage-dependent T-type calcium channel subunit alpha-1G,BLOCKER,DrugCentral,Homo sapiens,1.0
63,DM0QD4W,Aprotinin,KLKB1,KLKB1,P03952,Plasma kallikrein,INHIBITOR,DrugCentral,Homo sapiens,1.0
63,DM0QD4W,Aprotinin,PLG,PLG,P00747,Plasminogen,INHIBITOR,DrugCentral,Homo sapiens,1.0
64,DM0QJDC,Lixisenatide,GLP1R,GLP1R,P43220,Glucagon-like peptide 1 receptor,AGONIST,DrugCentral,Homo sapiens,1.0
65,DM0QV1J,Baclofen,ADORA3,ADORA3,P0DMS8,Adenosine receptor A3,,DrugCentral,Homo sapiens,
65,DM0QV1J,Baclofen,GABBR1,GABBR1,O75899|Q9UBS5,GABA-B receptor,AGONIST,DrugCentral,Homo sapiens,1.0
65,DM0QV1J,Baclofen,GABBR2,GABBR2,O75899|Q9UBS5,GABA-B receptor,AGONIST,DrugCentral,Homo sapiens,1.0
68,DM0RKS4,Bepridil,CACNA1A,CACNA1A,O00555,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,BLOCKER,DrugCentral,Homo sapiens,
68,DM0RKS4,Bepridil,CACNA1C,CACNA1C,Q13936,Voltage-dependent L-type calcium channel subunit alpha-1C,BLOCKER,DrugCentral,Homo sapiens,1.0
68,DM0RKS4,Bepridil,CACNA1D,CACNA1D,Q01668,Voltage-dependent L-type calcium channel subunit alpha-1D,BLOCKER,DrugCentral,Homo sapiens,1.0
68,DM0RKS4,Bepridil,CACNA1H,CACNA1H,O95180,Voltage-dependent T-type calcium channel subunit alpha-1H,BLOCKER,DrugCentral,Homo sapiens,1.0
68,DM0RKS4,Bepridil,HCN4,HCN4,Q9Y3Q4,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4,,DrugCentral,Homo sapiens,
68,DM0RKS4,Bepridil,KCNH2,KCNH2,Q12809,Potassium voltage-gated channel subfamily H member 2,,DrugCentral,Homo sapiens,
68,DM0RKS4,Bepridil,KCNQ4,KCNQ4,P56696,Potassium voltage-gated channel subfamily KQT member 4,BLOCKER,DrugCentral,Homo sapiens,
68,DM0RKS4,Bepridil,SCN1A,SCN1A,P35498|Q99250|Q9NY46,"Sodium channel alpha subunits; brain (Types I, II, III)",,DrugCentral,Homo sapiens,
68,DM0RKS4,Bepridil,SCN2A,SCN2A,P35498|Q99250|Q9NY46,"Sodium channel alpha subunits; brain (Types I, II, III)",,DrugCentral,Homo sapiens,
68,DM0RKS4,Bepridil,SCN3A,SCN3A,P35498|Q99250|Q9NY46,"Sodium channel alpha subunits; brain (Types I, II, III)",,DrugCentral,Homo sapiens,
68,DM0RKS4,Bepridil,SCN5A,SCN5A,Q14524,Sodium channel protein type 5 subunit alpha,,DrugCentral,Homo sapiens,
72,DM0T3YH,Indinavir,CYP3A4,CYP3A4,P08684,Cytochrome P450 3A4,,DrugCentral,Homo sapiens,
72,DM0T3YH,Indinavir,SLC47A1,SLC47A1,Q96FL8,Multidrug and toxin extrusion protein 1,,DrugCentral,Homo sapiens,
72,DM0T3YH,Indinavir,SLC47A2,SLC47A2,Q86VL8,Multidrug and toxin extrusion protein 2,,DrugCentral,Homo sapiens,
72,DM0T3YH,Indinavir,TACR2,TACR2,P21452,Substance-K receptor,,DrugCentral,Homo sapiens,
72,DM0T3YH,Indinavir,TBXAS1,TBXAS1,P24557,Thromboxane-A synthase,,DrugCentral,Homo sapiens,
74,DM0TI4U,Acebutolol,ADRB1,ADRB1,P08588,Beta-1 adrenergic receptor,ANTAGONIST,DrugCentral,Homo sapiens,1.0
74,DM0TI4U,Acebutolol,ADRB2,ADRB2,P07550,Beta-2 adrenergic receptor,,DrugCentral,Homo sapiens,
76,DM0VQN3,Ofloxacin,CHRM1,CHRM1,P11229,Muscarinic acetylcholine receptor M1,,DrugCentral,Homo sapiens,
76,DM0VQN3,Ofloxacin,GABRA2,GABRA2,P47869,Gamma-aminobutyric acid receptor subunit alpha-2,,DrugCentral,Homo sapiens,
76,DM0VQN3,Ofloxacin,HRH3,HRH3,Q9Y5N1,Histamine H3 receptor,,DrugCentral,Homo sapiens,
76,DM0VQN3,Ofloxacin,SLC6A4,SLC6A4,P31645,Sodium-dependent serotonin transporter,,DrugCentral,Homo sapiens,
